Cidade;UF;Longitude;Latitude
Douradina;MS;-54.615756;-22.040494
Maracaju;MS;-55.167763;-21.610544
Rio Brilhante;MS;-54.542744;-21.803258
Bodoquena;MS;-56.712716;-20.536983
Corumbá;MS;-57.651036;-19.007727
Ladário;MS;-57.597266;-19.008894
Miranda;MS;-56.374594;-20.235508
Anastácio;MS;-55.810353;-20.482292
Aquidauana;MS;-55.786788;-20.466552
Dois Irmãos do Buriti;MS;-55.291453;-20.684818
Sidrolândia;MS;-54.969219;-20.930212
Terenos;MS;-54.864742;-20.437845
Rochedo;MS;-54.884769;-19.956488
Corguinho;MS;-54.828074;-19.824281
Rio Negro;MS;-54.985873;-19.447036
Rio Verde de Mato Grosso;MS;-54.843357;-18.924945
São Gabriel do Oeste;MS;-54.550668;-19.388858
Tupanci do Sul;RS;-51.538283;-27.924085
Maximiliano de Almeida;RS;-51.802049;-27.632518
Paim Filho;RS;-51.762988;-27.707516
Cacique Doble;RS;-51.659671;-27.767044
Machadinho;RS;-51.666805;-27.566669
Alto Bela Vista;SC;-51.904435;-27.433346
Ipira;SC;-51.775790;-27.403818
Peritiba;SC;-51.901793;-27.375449
Piratuba;SC;-51.766834;-27.424228
São José do Ouro;RS;-51.596620;-27.770679
Barracão;RS;-51.458550;-27.673862
Zortéa;SC;-51.551993;-27.452065
Ouro;SC;-51.619373;-27.337905
Capinzal;SC;-51.605702;-27.347295
Erval Velho;SC;-51.442990;-27.274321
Farroupilha;RS;-51.341853;-29.222689
Caxias do Sul;RS;-51.179161;-29.162905
Presidente Prudente;SP;-51.392526;-22.120654
Bataguassu;MS;-52.422058;-21.715899
Presidente Epitácio;SP;-52.111140;-21.765074
Caiuá;SP;-51.996918;-21.832164
Junqueirópolis;SP;-51.434187;-21.510348
Panorama;SP;-51.856185;-21.353973
Paulicéia;SP;-51.832098;-21.315262
Ouro Verde;SP;-51.702398;-21.487150
Santa Mercedes;SP;-51.756353;-21.349521
Nova Guataporanga;SP;-51.644655;-21.331968
Paraíso do Sul;RS;-53.144034;-29.671705
Ibarama;RS;-53.129493;-29.420321
Sobradinho;RS;-53.032625;-29.419439
Passa Sete;RS;-52.959945;-29.457667
Cachoeira do Sul;RS;-52.892756;-30.032988
Novo Cabrais;RS;-52.948940;-29.733752
Cerro Branco;RS;-52.940610;-29.656986
Candelária;RS;-52.789495;-29.668391
Vera Cruz;RS;-52.515176;-29.718435
Santa Cruz do Sul;RS;-52.434318;-29.722021
Vale do Sol;RS;-52.683901;-29.596724
Herveiras;RS;-52.655314;-29.455239
Sinimbu;RS;-52.530449;-29.535659
Rio Grande;RS;-52.107050;-32.034875
São José do Norte;RS;-52.033085;-32.015129
Pelotas;RS;-52.337058;-31.764898
Turuçu;RS;-52.170590;-31.417284
São Lourenço do Sul;RS;-51.971531;-31.356374
Cristal;RS;-52.043618;-31.004634
Amaral Ferrador;RS;-52.250951;-30.875579
Camaquã;RS;-51.804310;-30.848897
Saldanha Marinho;RS;-53.097006;-28.394081
Colorado;RS;-52.992820;-28.525842
Lagoão;RS;-52.799698;-29.234796
Palma Sola;SC;-53.277091;-26.347069
Flor da Serra do Sul;PR;-53.309213;-26.252326
Tigrinhos;SC;-53.154529;-26.687610
Santa Terezinha do Progresso;SC;-53.199716;-26.624030
Bom Jesus do Oeste;SC;-53.096725;-26.692737
Serra Alta;SC;-53.040870;-26.722898
Sul Brasil;SC;-52.963965;-26.735148
Saltinho;SC;-53.057763;-26.604932
Campo Erê;SC;-53.085614;-26.393056
Nova Prata;RS;-51.611271;-28.779913
André da Rocha;RS;-51.579729;-28.628294
Protásio Alves;RS;-51.475700;-28.757189
Ibiraiaras;RS;-51.637670;-28.374095
Santa Mônica;PR;-53.110297;-23.108005
Tapira;PR;-53.068446;-23.319343
Tuneiras do Oeste;PR;-52.876874;-23.864798
Tapejara;PR;-52.873487;-23.731462
Farol;PR;-52.621693;-24.095842
Cerro Grande do Sul;RS;-51.741846;-30.590472
Arambaré;RS;-51.504586;-30.909248
Sentinela do Sul;RS;-51.586154;-30.610707
Sertão Santana;RS;-51.601694;-30.456183
Tapes;RS;-51.399140;-30.668308
Pantano Grande;RS;-52.372915;-30.190155
Rio Pardo;RS;-52.371130;-29.988030
Minas do Leão;RS;-52.042257;-30.134576
Butiá;RS;-51.960057;-30.117920
Vale Verde;RS;-52.185747;-29.786445
Passo do Sobrado;RS;-52.274758;-29.748041
Venâncio Aires;RS;-52.193159;-29.614306
São Pedro da Serra;RS;-51.513381;-29.419320
Harmonia;RS;-51.418502;-29.545556
Salvador do Sul;RS;-51.507699;-29.438561
Barão;RS;-51.494908;-29.372474
Tupandi;RS;-51.417358;-29.477185
Tavares;RS;-51.088040;-31.284266
Mostardas;RS;-50.916692;-31.105380
Barra do Ribeiro;RS;-51.301358;-30.293884
Guaíba;RS;-51.323314;-30.108592
Canoas;RS;-51.185681;-29.912758
Viamão;RS;-51.019435;-30.081899
Alvorada;RS;-51.080857;-29.991400
Cachoeirinha;RS;-51.101606;-29.947222
Gravataí;RS;-50.986891;-29.941319
Nova Santa Rita;RS;-51.283736;-29.852474
Capela de Santana;RS;-51.327998;-29.696088
Esteio;RS;-51.184065;-29.851963
Sapucaia do Sul;RS;-51.144975;-29.827575
São Leopoldo;RS;-51.149773;-29.754494
Portão;RS;-51.242895;-29.701533
Estância Velha;RS;-51.184339;-29.653540
Novo Hamburgo;RS;-51.132828;-29.687548
São Sebastião do Caí;RS;-51.374880;-29.588517
Bom Princípio;RS;-51.354763;-29.485634
São Vendelino;RS;-51.367515;-29.372873
Feliz;RS;-51.303186;-29.452703
Alto Feliz;RS;-51.312278;-29.391928
Vale Real;RS;-51.255859;-29.391944
Lindolfo Collor;RS;-51.214112;-29.585906
São José do Hortêncio;RS;-51.245048;-29.527962
Ivoti;RS;-51.153326;-29.599463
Presidente Lucena;RS;-51.179798;-29.517549
Linha Nova;RS;-51.200297;-29.467929
Picada Café;RS;-51.136725;-29.446421
Campo Bom;RS;-51.060601;-29.674694
Sapiranga;RS;-51.006446;-29.634885
Dois Irmãos;RS;-51.089776;-29.583560
Morro Reuter;RS;-51.081119;-29.537934
Nova Petrópolis;RS;-51.113552;-29.374112
Santa Maria do Herval;RS;-50.991917;-29.490163
Araricá;RS;-50.929128;-29.616832
Nova Hartz;RS;-50.905108;-29.580752
Gramado;RS;-50.876164;-29.373351
Palmares do Sul;RS;-50.510297;-30.253485
Capivari do Sul;RS;-50.515152;-30.138251
Glorinha;RS;-50.773363;-29.879798
Parobé;RS;-50.831180;-29.624257
Taquara;RS;-50.775278;-29.650471
Igrejinha;RS;-50.791894;-29.569318
Três Coroas;RS;-50.773869;-29.513719
Santo Antônio da Patrulha;RS;-50.517489;-29.826768
Tupanciretã;RS;-53.844469;-29.085775
Júlio de Castilhos;RS;-53.677168;-29.229855
Augusto Pestana;RS;-53.988292;-28.517249
Ijuí;RS;-53.919960;-28.388048
Cruz Alta;RS;-53.604831;-28.645001
Pejuçara;RS;-53.657854;-28.428256
Sete de Setembro;RS;-54.463682;-28.136169
Santo Ângelo;RS;-54.266781;-28.300128
Santa Rosa;RS;-54.479629;-27.870200
Giruá;RS;-54.351680;-28.029664
Catuípe;RS;-54.013215;-28.255356
Independência;RS;-54.188640;-27.835411
Inhacorá;RS;-54.014978;-27.875187
Alegria;RS;-54.055732;-27.834467
Tuparendi;RS;-54.481434;-27.759768
Tucunduva;RS;-54.443880;-27.657292
Novo Machado;RS;-54.503592;-27.576473
Horizontina;RS;-54.305336;-27.628238
Doutor Maurício Cardoso;RS;-54.357746;-27.510309
Três de Maio;RS;-54.235709;-27.780037
São José do Inhacorá;RS;-54.127462;-27.725055
Boa Vista do Buricá;RS;-54.108229;-27.669280
Nova Candelária;RS;-54.107401;-27.613677
Crissiumal;RS;-54.099372;-27.499890
Tiradentes do Sul;RS;-54.081367;-27.402229
Ajuricaba;RS;-53.775668;-28.234170
Chiapetta;RS;-53.941871;-27.923017
São Valério do Sul;RS;-53.936771;-27.790639
Santo Augusto;RS;-53.777605;-27.852577
Nova Ramada;RS;-53.699168;-28.066731
Panambi;RS;-53.502261;-28.283328
Condor;RS;-53.490545;-28.207533
São Martinho;RS;-53.969899;-27.711169
Sede Nova;RS;-53.949290;-27.636739
Humaitá;RS;-53.969525;-27.569065
Bom Progresso;RS;-53.871608;-27.539856
Campo Novo;RS;-53.805209;-27.679200
Braga;RS;-53.740514;-27.617348
Três Passos;RS;-53.929631;-27.455471
Esperança do Sul;RS;-53.989081;-27.360276
Derrubadas;RS;-53.864535;-27.264151
Tenente Portela;RS;-53.758484;-27.371058
Coronel Bicaco;RS;-53.702164;-27.719699
Redentora;RS;-53.640668;-27.663954
Dois Irmãos das Missões;RS;-53.530413;-27.662103
Erval Seco;RS;-53.500501;-27.544314
Miraguaí;RS;-53.689078;-27.496970
Vista Gaúcha;RS;-53.697382;-27.290217
Palmitinho;RS;-53.558029;-27.359574
Vista Alegre;RS;-53.491876;-27.368619
Pinhal Grande;RS;-53.320649;-29.345000
Arroio do Tigre;RS;-53.096627;-29.334829
Estrela Velha;RS;-53.163870;-29.171269
Segredo;RS;-52.976673;-29.352337
Tunas;RS;-52.953843;-29.103944
Salto do Jacuí;RS;-53.213326;-29.095065
Campos Borges;RS;-53.000812;-28.887148
Fortaleza dos Valos;RS;-53.224906;-28.798596
Santa Bárbara do Sul;RS;-53.251041;-28.365330
Quinze de Novembro;RS;-53.101096;-28.746552
Ibirubá;RS;-53.096124;-28.630161
Alto Alegre;RS;-52.989255;-28.776865
Gramado Xavier;RS;-52.579491;-29.270571
Barros Cassal;RS;-52.583571;-29.094686
Espumoso;RS;-52.846080;-28.728633
Selbach;RS;-52.949768;-28.629435
Tapera;RS;-52.861253;-28.627729
Mormaço;RS;-52.699916;-28.696814
Lagoa dos Três Cantos;RS;-52.861848;-28.567611
Não-Me-Toque;RS;-52.818156;-28.454776
Victor Graeff;RS;-52.749535;-28.563163
Santo Antônio do Planalto;RS;-52.699233;-28.403046
Soledade;RS;-52.513083;-28.830613
Ibirapuitã;RS;-52.515796;-28.624707
Ernestina;RS;-52.583566;-28.497674
Pinhal;RS;-53.208185;-27.508022
Rodeio Bonito;RS;-53.170583;-27.474203
Ametista do Sul;RS;-53.183005;-27.360656
Planalto;RS;-53.057530;-27.329695
Carazinho;RS;-52.793260;-28.295844
Coqueiros do Sul;RS;-52.784221;-28.119421
Sarandi;RS;-52.923085;-27.942000
Rondinha;RS;-52.908107;-27.831451
Pontão;RS;-52.679091;-28.058478
Engenho Velho;RS;-52.914540;-27.706026
Três Palmeiras;RS;-52.843718;-27.613889
Ronda Alta;RS;-52.805587;-27.775799
Entre Rios do Sul;RS;-52.734708;-27.529836
Trindade do Sul;RS;-52.895593;-27.523896
Gramado dos Loureiros;RS;-52.914861;-27.442895
Rio dos Índios;RS;-52.841749;-27.297280
Nonoai;RS;-52.775564;-27.368918
Campinas do Sul;RS;-52.624808;-27.717426
Jacutinga;RS;-52.537240;-27.729135
Ponte Preta;RS;-52.484817;-27.658692
São Valentim;RS;-52.523714;-27.558284
Faxinalzinho;RS;-52.678917;-27.423770
Benjamin Constant do Sul;RS;-52.599504;-27.508565
Erval Grande;RS;-52.574036;-27.392599
Itatiba do Sul;RS;-52.453776;-27.384631
Barra do Guarita;RS;-53.710867;-27.192672
Itapiranga;SC;-53.716603;-27.165856
Pinheirinho do Vale;RS;-53.608017;-27.210886
São João do Oeste;SC;-53.597657;-27.098353
Tunápolis;SC;-53.641725;-26.968103
Santa Helena;SC;-53.621439;-26.936966
Bandeirante;SC;-53.641326;-26.770499
Iporã do Oeste;SC;-53.535483;-26.985396
Belmonte;SC;-53.575810;-26.842994
Descanso;SC;-53.503395;-26.826971
Paraíso;SC;-53.671595;-26.620024
São Miguel do Oeste;SC;-53.516259;-26.724224
Guaraciaba;SC;-53.524317;-26.604199
Dionísio Cerqueira;SC;-53.635149;-26.264784
Barracão;PR;-53.632385;-26.250230
Princesa;SC;-53.599427;-26.444120
São José do Cedro;SC;-53.495456;-26.456135
Guarujá do Sul;SC;-53.529575;-26.385813
Santa Terezinha de Itaipu;PR;-54.400725;-25.434417
São Miguel do Iguaçu;PR;-54.240498;-25.349171
Medianeira;PR;-54.094308;-25.297665
Serranópolis do Iguaçu;PR;-54.051822;-25.379915
Pranchita;PR;-53.741112;-26.021968
Pérola d'Oeste;PR;-53.744742;-25.820958
Planalto;PR;-53.764234;-25.721135
Santo Antônio do Sudoeste;PR;-53.725100;-26.073708
Bom Jesus do Sul;PR;-53.595493;-26.195802
Pinhal de São Bento;PR;-53.481998;-26.032422
Bela Vista da Caroba;PR;-53.672505;-25.884179
Santa Izabel do Oeste;PR;-53.480146;-25.821652
Realeza;PR;-53.526030;-25.771093
Capanema;PR;-53.805508;-25.669099
Matelândia;PR;-53.993492;-25.249571
Capitão Leônidas Marques;PR;-53.611238;-25.481645
Santa Lúcia;PR;-53.563796;-25.410355
Lindoeste;PR;-53.573298;-25.259616
Vicente Dutra;RS;-53.402211;-27.160749
Mondaí;SC;-53.403177;-27.100785
Iraí;RS;-53.254322;-27.195070
Riqueza;SC;-53.326452;-27.065325
Caibi;SC;-53.245751;-27.074102
Flor do Sertão;SC;-53.350522;-26.781143
Iraceminha;SC;-53.276682;-26.821536
Palmitos;SC;-53.158612;-27.070219
Alpestre;RS;-53.034127;-27.250159
São Carlos;SC;-53.003704;-27.079757
Águas de Chapecó;SC;-52.980844;-27.075424
Cunha Porã;SC;-53.166185;-26.895019
Cunhataí;SC;-53.089474;-26.970924
Maravilha;SC;-53.173699;-26.766529
Saudades;SC;-53.002130;-26.931677
Modelo;SC;-53.039956;-26.772924
Pinhalzinho;SC;-52.991268;-26.849546
Barra Bonita;SC;-53.440000;-26.654000
Romelândia;SC;-53.317193;-26.680888
São Miguel da Boa Vista;SC;-53.251107;-26.686961
Anchieta;SC;-53.331908;-26.538216
São Bernardino;SC;-52.968669;-26.473926
Caxambu do Sul;SC;-52.880718;-27.162401
Planalto Alegre;SC;-52.866990;-27.070423
Guatambú;SC;-52.788650;-27.134102
Nova Erechim;SC;-52.906569;-26.898159
Águas Frias;SC;-52.856773;-26.879377
União do Oeste;SC;-52.854123;-26.762040
Nova Itaberaba;SC;-52.814076;-26.942805
Coronel Freitas;SC;-52.701122;-26.905713
