"id_municipio";"uf";"municipio";"longitude";"latitude"
129;"AM";"Apuí";-59.895956;-7.194091
130;"AM";"Atalaia do Norte";-70.1967;-4.370551
131;"AM";"Autazes";-59.125589;-3.585743
132;"AM";"Barcelos";-62.931053;-0.983373
133;"AM";"Barreirinha";-57.067897;-2.798863
134;"AM";"Benjamin Constant";-70.034157;-4.37768
135;"AM";"Beruri";-61.36162;-3.898736
136;"AM";"Boa Vista do Ramos";-57.587333;-2.974087
137;"AM";"Boca do Acre";-67.391926;-8.742322
138;"AM";"Borba";-59.58738;-4.391539
139;"AM";"Caapiranga";-61.220557;-3.315372
140;"AM";"Canutama";-64.39528;-6.52582
141;"AM";"Carauari";-66.908559;-4.881605
142;"AM";"Careiro";-60.369046;-3.768027
143;"AM";"Careiro da Várzea";-59.79639;-3.196979
144;"AM";"Coari";-63.144091;-4.094121
145;"AM";"Codajás";-62.065787;-3.830528
146;"AM";"Eirunepé";-69.86616;-6.656767
147;"AM";"Envira";-70.028143;-7.437889
148;"AM";"Fonte Boa";-66.094212;-2.523424
149;"AM";"Guajará";-72.590713;-7.537971
150;"AM";"Humaitá";-63.032743;-7.511712
151;"AM";"Ipixuna";-71.693426;-7.047909
152;"AM";"Iranduba";-60.189953;-3.274792
153;"AM";"Itacoatiara";-58.444874;-3.138607
154;"AM";"Itamarati";-68.260027;-6.424591
155;"AM";"Itapiranga";-58.029257;-2.74081
156;"AM";"Japurá";-66.929051;-1.882366
157;"AM";"Juruá";-66.071795;-3.484384
158;"AM";"Jutaí";-66.75947;-2.758144
159;"AM";"Lábrea";-64.794765;-7.264133
160;"AM";"Manacapuru";-60.621581;-3.290657
161;"AM";"Manaquiri";-60.461239;-3.440784
162;"AM";"Manaus";-60.02123;-3.118662
163;"AM";"Manicoré";-61.289483;-5.804618
164;"AM";"Maraã";-65.572995;-1.853129
165;"AM";"Maués";-57.706731;-3.392891
167;"AM";"Nhamundá";-56.711151;-2.207932
168;"AM";"Nova Olinda do Norte";-59.09404;-3.900367
169;"AM";"Novo Airão";-60.943404;-2.636371
170;"AM";"Novo Aripuanã";-60.373179;-5.125929
171;"AM";"Parintins";-56.729045;-2.637412
172;"AM";"Pauini";-66.992039;-7.713109
173;"AM";"Presidente Figueiredo";-60.02338;-2.029813
174;"AM";"Rio Preto da Eva";-59.685793;-2.704497
175;"AM";"Santa Isabel do Rio Negro";-65.009205;-0.410824
176;"AM";"Santo Antônio do Içá";-67.946279;-3.095443
180;"AM";"Silves";-58.248031;-2.81748
177;"AM";"São Gabriel da Cachoeira";-67.084042;-0.11909
178;"AM";"São Paulo de Olivença";-68.964581;-3.472919
179;"AM";"São Sebastião do Uatumã";-57.873049;-2.559147
181;"AM";"Tabatinga";-69.938273;-4.241597
182;"AM";"Tapauá";-63.1808;-5.620855
183;"AM";"Tefé";-64.719343;-3.368219
184;"AM";"Tonantins";-67.791904;-2.865825
185;"AM";"Uarini";-65.113298;-2.996087
186;"AM";"Urucará";-57.753797;-2.529364
187;"AM";"Urucurituba";-58.149637;-3.128412
188;"AP";"Amapá";-50.795653;2.052669
189;"AP";"Calçoene";-50.951233;2.504747
190;"AP";"Cutias";-50.799169;0.987565
191;"AP";"Ferreira Gomes";-51.179523;0.857256
192;"AP";"Itaubal";-50.670828;0.596137
193;"AP";"Laranjal do Jari";-52.452962;-0.804911
194;"AP";"Macapá";-51.069395;0.034934
195;"AP";"Mazagão";-51.28913;-0.11336
196;"AP";"Oiapoque";-51.833123;3.84074
197;"AP";"Pedra Branca do Amaparí";-51.950306;0.777424
198;"AP";"Porto Grande";-51.415499;0.71243
199;"AP";"Pracuúba";-50.789248;1.745427
200;"AP";"Santana";-51.172924;-0.045434
201;"AP";"Serra do Navio";-52.003636;0.901357
202;"AP";"Tartarugalzinho";-50.90874;1.506519
203;"AP";"Vitória do Jari";-52.424001;-0.938
205;"BA";"Abaré";-39.116178;-8.720734
204;"BA";"Abaíra";-41.661869;-13.24883
206;"BA";"Acajutiba";-38.019737;-11.657522
207;"BA";"Adustina";-38.111265;-10.54369
209;"BA";"Aiquara";-39.893653;-14.126918
210;"BA";"Alagoinhas";-38.420772;-12.133526
211;"BA";"Alcobaça";-39.203609;-17.519468
212;"BA";"Almadina";-39.641491;-14.708869
213;"BA";"Amargosa";-39.601966;-13.021462
214;"BA";"Amélia Rodrigues";-38.756289;-12.391429
215;"BA";"América Dourada";-41.439007;-11.442938
216;"BA";"Anagé";-41.135569;-14.61512
217;"BA";"Andaraí";-41.329658;-12.804916
218;"BA";"Andorinha";-39.839142;-10.348214
219;"BA";"Angical";-44.700272;-12.006313
220;"BA";"Anguera";-39.246186;-12.146157
221;"BA";"Antas";-38.340118;-10.385621
222;"BA";"Antônio Cardoso";-39.117555;-12.433493
223;"BA";"Antônio Gonçalves";-40.278489;-10.576686
224;"BA";"Aporá";-38.081418;-11.657708
225;"BA";"Apuarema";-39.750148;-13.854241
227;"BA";"Aracatu";-41.464783;-14.427986
228;"BA";"Araci";-38.958385;-11.325316
229;"BA";"Aramari";-38.496937;-12.088399
230;"BA";"Arataca";-39.419017;-15.265099
231;"BA";"Aratuípe";-39.003763;-13.071595
226;"BA";"Araças";-38.202658;-12.220038
232;"BA";"Aurelino Leal";-39.329035;-14.320954
233;"BA";"Baianópolis";-44.538829;-12.301641
234;"BA";"Baixa Grande";-40.16897;-11.951884
235;"BA";"Banzaê";-38.621243;-10.578784
236;"BA";"Barra";-43.145913;-11.0859
237;"BA";"Barra da Estiva";-41.334697;-13.623699
238;"BA";"Barra do Choça";-40.579058;-14.865423
239;"BA";"Barra do Mendes";-42.058999;-11.81
240;"BA";"Barra do Rocha";-39.599098;-14.199994
241;"BA";"Barreiras";-44.996838;-12.143864
242;"BA";"Barro Alto";-41.905441;-11.760493
342;"BA";"Barro Preto";-39.476029;-14.794773
5627;"BA";"Barrocas";-39.077594;-11.527222
243;"BA";"Belmonte";-38.87578;-15.860789
244;"BA";"Belo Campo";-41.265172;-15.033362
245;"BA";"Biritinga";-38.805055;-11.607156
246;"BA";"Boa Nova";-40.206444;-14.359754
247;"BA";"Boa Vista do Tupim";-40.606376;-12.649774
248;"BA";"Bom Jesus da Lapa";-43.410754;-13.250571
249;"BA";"Bom Jesus da Serra";-40.512556;-14.366312
250;"BA";"Boninal";-41.828604;-12.706887
251;"BA";"Bonito";-41.264698;-11.966768
252;"BA";"Boquira";-42.732354;-12.820536
253;"BA";"Botuporã";-42.516301;-13.377235
255;"BA";"Brejolândia";-43.967855;-12.481547
254;"BA";"Brejões";-39.798797;-13.103948
256;"BA";"Brotas de Macaúbas";-42.632609;-11.991452
257;"BA";"Brumado";-41.669592;-14.202127
258;"BA";"Buerarema";-39.302849;-14.959497
259;"BA";"Buritirama";-43.630231;-10.717055
260;"BA";"Caatiba";-40.409156;-14.969854
261;"BA";"Cabaceiras do Paraguaçu";-39.190231;-12.531694
262;"BA";"Cachoeira";-38.958695;-12.599443
263;"BA";"Caculé";-42.222872;-14.500281
265;"BA";"Caetanos";-40.917506;-14.334745
266;"BA";"Caetité";-42.486133;-14.068422
267;"BA";"Cafarnaum";-41.468823;-11.691399
268;"BA";"Cairu";-39.046525;-13.490377
269;"BA";"Caldeirão Grande";-40.295577;-11.020798
270;"BA";"Camacan";-39.491937;-15.414157
272;"BA";"Camamu";-39.107082;-13.939773
271;"BA";"Camaçari";-38.326265;-12.699638
273;"BA";"Campo Alegre de Lourdes";-43.01258;-9.522212
274;"BA";"Campo Formoso";-40.320031;-10.51055
276;"BA";"Canarana";-41.767705;-11.685831
277;"BA";"Canavieiras";-38.953648;-15.672205
278;"BA";"Candeal";-39.120277;-11.804851
279;"BA";"Candeias";-38.547152;-12.671566
280;"BA";"Candiba";-42.866694;-14.409738
282;"BA";"Cansanção";-39.494388;-10.664713
283;"BA";"Canudos";-39.147059;-9.900135
275;"BA";"Canápolis";-44.200949;-13.072454
284;"BA";"Capela do Alto Alegre";-39.834912;-11.665797
285;"BA";"Capim Grosso";-40.008951;-11.379659
287;"BA";"Caravelas";-39.259679;-17.726839
286;"BA";"Caraíbas";-41.260336;-14.717677
288;"BA";"Cardeal da Silva";-37.946905;-11.947191
289;"BA";"Carinhanha";-43.772349;-14.298524
290;"BA";"Casa Nova";-40.973977;-9.164083
291;"BA";"Castro Alves";-39.424753;-12.75795
292;"BA";"Catolândia";-44.864808;-12.310013
293;"BA";"Catu";-38.379108;-12.351274
294;"BA";"Caturama";-42.290385;-13.323938
264;"BA";"Caém";-40.432039;-11.067693
295;"BA";"Central";-42.111625;-11.137576
296;"BA";"Chorrochó";-39.097942;-8.969498
298;"BA";"Cipó";-38.517942;-11.103172
299;"BA";"Coaraci";-39.555609;-14.636996
300;"BA";"Cocos";-44.53522;-14.18136
301;"BA";"Conceição da Feira";-38.997823;-12.507835
302;"BA";"Conceição do Almeida";-39.171466;-12.783579
303;"BA";"Conceição do Coité";-39.280827;-11.559953
304;"BA";"Conceição do Jacuípe";-38.768433;-12.326831
305;"BA";"Conde";-37.613094;-11.817937
306;"BA";"Condeúba";-41.971829;-14.902227
307;"BA";"Contendas do Sincorá";-41.047953;-13.75369
308;"BA";"Coração de Maria";-38.748654;-12.233332
309;"BA";"Cordeiros";-41.930796;-15.035641
310;"BA";"Coribe";-44.458593;-13.823216
311;"BA";"Coronel João Sá";-37.919825;-10.2847
312;"BA";"Correntina";-44.633335;-13.347674
313;"BA";"Cotegipe";-44.256559;-12.022761
314;"BA";"Cravolândia";-39.803083;-13.353063
316;"BA";"Cristópolis";-44.421358;-12.224899
315;"BA";"Crisópolis";-38.15148;-11.505929
317;"BA";"Cruz das Almas";-39.100787;-12.667516
318;"BA";"Curaçá";-39.899671;-8.984577
281;"BA";"Cândido Sales";-41.241438;-15.499309
297;"BA";"Cícero Dantas";-38.379377;-10.589664
320;"BA";"Dias d`Ávila";-38.292645;-12.61875
321;"BA";"Dom Basílio";-41.767663;-13.756499
322;"BA";"Dom Macedo Costa";-39.192259;-12.901582
319;"BA";"Dário Meira";-39.903129;-14.4229
323;"BA";"Elísio Medrado";-39.519087;-12.941743
324;"BA";"Encruzilhada";-40.912432;-15.530168
325;"BA";"Entre Rios";-38.087125;-11.939164
327;"BA";"Esplanada";-37.943216;-11.794215
328;"BA";"Euclides da Cunha";-39.015286;-10.507754
329;"BA";"Eunápolis";-39.582122;-16.371498
331;"BA";"Feira da Mata";-44.274424;-14.204405
332;"BA";"Feira de Santana";-38.966293;-12.266429
333;"BA";"Filadélfia";-40.14371;-10.740475
334;"BA";"Firmino Alves";-39.926859;-14.982334
335;"BA";"Floresta Azul";-39.657877;-14.862934
336;"BA";"Formosa do Rio Preto";-45.19298;-11.032812
330;"BA";"Fátima";-38.223891;-10.616013
337;"BA";"Gandu";-39.474651;-13.744101
338;"BA";"Gavião";-39.775751;-11.468796
339;"BA";"Gentio do Ouro";-42.507652;-11.434233
340;"BA";"Glória";-38.254397;-9.343822
341;"BA";"Gongogi";-39.46899;-14.319481
343;"BA";"Governador Mangabeira";-39.041207;-12.599415
344;"BA";"Guajeru";-41.938064;-14.54668
345;"BA";"Guanambi";-42.779943;-14.223066
346;"BA";"Guaratinga";-39.784713;-16.583276
347;"BA";"Heliópolis";-38.290664;-10.682539
348;"BA";"Iaçu";-40.205609;-12.766637
349;"BA";"Ibiassucê";-42.257026;-14.271126
350;"BA";"Ibicaraí";-39.591434;-14.857877
351;"BA";"Ibicoara";-41.283989;-13.405918
352;"BA";"Ibicuí";-39.987915;-14.84496
353;"BA";"Ibipeba";-42.019515;-11.643775
354;"BA";"Ibipitanga";-42.485568;-12.880435
355;"BA";"Ibiquera";-40.933774;-12.644354
356;"BA";"Ibirapitanga";-39.378737;-14.164898
357;"BA";"Ibirapuã";-40.112907;-17.683151
358;"BA";"Ibirataia";-39.645935;-14.064316
359;"BA";"Ibitiara";-42.217946;-12.650181
360;"BA";"Ibititá";-41.97481;-11.541426
361;"BA";"Ibotirama";-43.21669;-12.177876
362;"BA";"Ichu";-39.190523;-11.743065
363;"BA";"Igaporã";-42.715508;-13.774025
364;"BA";"Igrapiúna";-39.136129;-13.829543
365;"BA";"Iguaí";-40.089417;-14.752754
366;"BA";"Ilhéus";-39.04602;-14.793045
367;"BA";"Inhambupe";-38.355048;-11.780955
368;"BA";"Ipecaetá";-39.306921;-12.302846
369;"BA";"Ipiaú";-39.735252;-14.12263
370;"BA";"Ipirá";-39.735941;-12.156057
371;"BA";"Ipupiara";-42.617913;-11.821881
372;"BA";"Irajuba";-40.08482;-13.256331
373;"BA";"Iramaia";-40.959471;-13.290186
374;"BA";"Iraquara";-41.615504;-12.24288
375;"BA";"Irará";-38.763139;-12.050449
376;"BA";"Irecê";-41.853462;-11.303317
377;"BA";"Itabela";-39.559318;-16.573188
378;"BA";"Itaberaba";-40.305897;-12.524182
379;"BA";"Itabuna";-39.278056;-14.787573
380;"BA";"Itacaré";-38.99591;-14.278422
381;"BA";"Itaeté";-40.96774;-12.983121
382;"BA";"Itagi";-40.013112;-14.1615
383;"BA";"Itagibá";-39.844945;-14.278239
384;"BA";"Itagimirim";-39.613317;-16.081919
385;"BA";"Itaguaçu da Bahia";-42.399671;-11.014672
386;"BA";"Itaju do Colônia";-39.728298;-15.136598
387;"BA";"Itajuípe";-39.369823;-14.678766
388;"BA";"Itamaraju";-39.538569;-17.03782
389;"BA";"Itamari";-39.682959;-13.778192
390;"BA";"Itambé";-40.629955;-15.242913
391;"BA";"Itanagra";-38.043595;-12.261435
392;"BA";"Itanhém";-40.332139;-17.164207
393;"BA";"Itaparica";-38.67995;-12.893205
395;"BA";"Itapebi";-39.532863;-15.955063
396;"BA";"Itapetinga";-40.248236;-15.247533
397;"BA";"Itapicuru";-38.226229;-11.308836
398;"BA";"Itapitanga";-39.565654;-14.413932
394;"BA";"Itapé";-39.423858;-14.887641
399;"BA";"Itaquara";-39.937767;-13.44589
400;"BA";"Itarantim";-40.06496;-15.652819
401;"BA";"Itatim";-39.695199;-12.709888
402;"BA";"Itiruçu";-40.147186;-13.529043
403;"BA";"Itiúba";-39.844616;-10.694761
404;"BA";"Itororó";-40.068401;-15.109988
405;"BA";"Ituaçu";-41.300284;-13.810651
406;"BA";"Ituberá";-39.148059;-13.724936
407;"BA";"Iuiú";-43.559547;-14.405424
408;"BA";"Jaborandi";-44.425537;-13.607082
409;"BA";"Jacaraci";-42.432878;-14.85409
410;"BA";"Jacobina";-40.511693;-11.181217
411;"BA";"Jaguaquara";-39.964009;-13.524834
412;"BA";"Jaguarari";-40.199938;-10.256859
413;"BA";"Jaguaripe";-38.893891;-13.110924
414;"BA";"Jandaíra";-37.785274;-11.561614
415;"BA";"Jequié";-40.087704;-13.850888
416;"BA";"Jeremoabo";-38.347097;-10.06848
417;"BA";"Jiquiriçá";-39.57365;-13.262101
418;"BA";"Jitaúna";-39.896892;-14.013085
419;"BA";"João Dourado";-41.654799;-11.348642
420;"BA";"Juazeiro";-40.503251;-9.416217
421;"BA";"Jucuruçu";-40.164074;-16.848752
422;"BA";"Jussara";-41.970235;-11.043084
423;"BA";"Jussari";-39.490962;-15.19201
424;"BA";"Jussiape";-41.588209;-13.515514
425;"BA";"Lafaiete Coutinho";-40.21189;-13.6541
426;"BA";"Lagoa Real";-42.132764;-14.033443
427;"BA";"Laje";-39.421264;-13.167327
429;"BA";"Lajedinho";-40.904752;-12.352889
430;"BA";"Lajedo do Tabocal";-40.220429;-13.466286
428;"BA";"Lajedão";-40.338307;-17.605641
431;"BA";"Lamarão";-38.887009;-11.773013
432;"BA";"Lapão";-41.828615;-11.385096
433;"BA";"Lauro de Freitas";-38.321008;-12.8978
434;"BA";"Lençóis";-41.392825;-12.561604
435;"BA";"Licínio de Almeida";-42.509527;-14.684215
436;"BA";"Livramento de Nossa Senhora";-41.843187;-13.636868
437;"BA";"Luis Eduardo Magalhaes";-45.786555;-12.095638
438;"BA";"Macajuba";-40.357058;-12.132592
439;"BA";"Macarani";-40.420888;-15.564563
440;"BA";"Macaúbas";-42.694515;-13.018601
441;"BA";"Macururé";-39.051784;-9.162258
442;"BA";"Madre de Deus";-38.615316;-12.744621
443;"BA";"Maetinga";-41.49146;-14.662335
444;"BA";"Maiquinique";-40.258722;-15.623985
445;"BA";"Mairi";-40.143732;-11.710704
446;"BA";"Malhada";-43.768634;-14.337134
447;"BA";"Malhada de Pedras";-41.88422;-14.384673
448;"BA";"Manoel Vitorino";-40.239895;-14.147617
449;"BA";"Mansidão";-44.042798;-10.722707
450;"BA";"Maracás";-40.432333;-13.435468
451;"BA";"Maragogipe";-38.917519;-12.77602
452;"BA";"Maraú";-39.013656;-14.103549
453;"BA";"Marcionílio Souza";-40.529457;-13.006437
454;"BA";"Mascote";-39.301602;-15.554159
455;"BA";"Mata de São João";-38.300898;-12.530685
456;"BA";"Matina";-42.843914;-13.910917
457;"BA";"Medeiros Neto";-40.223776;-17.370676
458;"BA";"Miguel Calmon";-40.603084;-11.429891
459;"BA";"Milagres";-39.861092;-12.864635
460;"BA";"Mirangaba";-40.573996;-10.960983
461;"BA";"Mirante";-40.771799;-14.238469
462;"BA";"Monte Santo";-39.332077;-10.437413
463;"BA";"Morpará";-43.276566;-11.556892
464;"BA";"Morro do Chapéu";-41.156461;-11.548804
465;"BA";"Mortugaba";-42.372663;-15.022454
466;"BA";"Mucugê";-41.370271;-13.0053
467;"BA";"Mucuri";-39.556467;-18.075392
468;"BA";"Mulungu do Morro";-41.637352;-11.964776
469;"BA";"Mundo Novo";-40.47139;-11.85408
470;"BA";"Muniz Ferreira";-39.109247;-13.009227
471;"BA";"Muquém de São Francisco";-43.543808;-12.063376
472;"BA";"Muritiba";-38.992052;-12.632901
473;"BA";"Mutuípe";-39.504367;-13.228381
474;"BA";"Nazaré";-39.010835;-13.023491
475;"BA";"Nilo Peçanha";-39.109111;-13.603992
476;"BA";"Nordestina";-39.429705;-10.819169
477;"BA";"Nova Canaã";-40.1458;-14.791242
478;"BA";"Nova Fátima";-39.630215;-11.603116
479;"BA";"Nova Ibiá";-39.618174;-13.811995
480;"BA";"Nova Itarana";-40.065267;-13.024055
481;"BA";"Nova Redenção";-41.074785;-12.815001
482;"BA";"Nova Soure";-38.487103;-11.232948
483;"BA";"Nova Viçosa";-39.374331;-17.892648
484;"BA";"Novo Horizonte";-42.168172;-12.808318
485;"BA";"Novo Triunfo";-38.401374;-10.318235
486;"BA";"Olindina";-38.337863;-11.349693
487;"BA";"Oliveira dos Brejinhos";-42.896872;-12.313183
488;"BA";"Ouriçangas";-38.616624;-12.017497
489;"BA";"Ourolândia";-41.075576;-10.957848
490;"BA";"Palmas de Monte Alto";-43.16086;-14.267562
491;"BA";"Palmeiras";-41.580886;-12.505865
492;"BA";"Paramirim";-42.239502;-13.438849
493;"BA";"Paratinga";-43.179794;-12.686974
494;"BA";"Paripiranga";-37.862561;-10.685885
495;"BA";"Pau Brasil";-39.645794;-15.457226
496;"BA";"Paulo Afonso";-38.22156;-9.398296
499;"BA";"Pedro Alexandre";-37.893178;-10.012005
498;"BA";"Pedrão";-38.648715;-12.14914
500;"BA";"Piatã";-41.770177;-13.146549
501;"BA";"Pilão Arcado";-42.493607;-10.005079
502;"BA";"Pindaí";-42.685984;-14.492128
503;"BA";"Pindobaçu";-40.367472;-10.743338
504;"BA";"Pintadas";-39.900859;-11.811712
505;"BA";"Piraí do Norte";-39.383592;-13.758962
506;"BA";"Piripá";-41.716841;-14.944379
507;"BA";"Piritiba";-40.558739;-11.730008
508;"BA";"Planaltino";-40.369519;-13.261789
509;"BA";"Planalto";-40.471843;-14.66537
511;"BA";"Pojuca";-38.337436;-12.430336
512;"BA";"Ponto Novo";-40.131144;-10.8653
513;"BA";"Porto Seguro";-39.064251;-16.443473
514;"BA";"Potiraguá";-39.863846;-15.59429
510;"BA";"Poções";-40.363354;-14.523391
515;"BA";"Prado";-39.222721;-17.336357
516;"BA";"Presidente Dutra";-41.984341;-11.292345
517;"BA";"Presidente Jânio Quadros";-41.679792;-14.688485
518;"BA";"Presidente Tancredo Neves";-39.420267;-13.447064
497;"BA";"Pé de Serra";-39.611037;-11.831289
519;"BA";"Queimadas";-39.629347;-10.973561
520;"BA";"Quijingue";-39.213694;-10.750519
521;"BA";"Quixabeira";-40.120045;-11.403061
522;"BA";"Rafael Jambeiro";-39.500658;-12.405257
523;"BA";"Remanso";-42.084839;-9.61944
524;"BA";"Retirolândia";-39.423358;-11.483198
527;"BA";"Riacho de Santana";-42.939675;-13.605941
525;"BA";"Riachão das Neves";-44.914259;-11.750755
526;"BA";"Riachão do Jacuípe";-39.381812;-11.806681
528;"BA";"Ribeira do Amparo";-38.424211;-11.042071
529;"BA";"Ribeira do Pombal";-38.538152;-10.837299
530;"BA";"Ribeirão do Largo";-40.744137;-15.450775
534;"BA";"Rio Real";-37.933243;-11.48137
531;"BA";"Rio de Contas";-41.804764;-13.585218
